"ID","SITE_ID","TASK_NAME","INVOICE_PRICE","CREATED_AT"
76,19,"Customized Printing of health cards and insertion Card + Printing)				",50,"2026-03-19 16:45:12"
77,19,"Print Customized Policy  Documents				",176,"2026-03-19 16:45:12"
78,19,"provided by softlogic admin				",50,"2026-03-19 16:45:12"
79,19,"Assignments Customized  Policy Doucments			",20,"2026-03-19 16:45:12"
80,19,"Policy Post (Re arangemet)				",20,"2026-03-19 16:45:12"
81,19,"Print page count 				",1.2,"2026-03-19 16:45:12"
644,121,"Mandate Scanning And Digitizing",2.3,"2026-04-10 08:41:41"
661,20,"SCANNING 			",2.4,"2026-04-20 11:33:22"
549,36,"Indexing Charges for additional fields			",1,"2026-04-03 14:54:55"
684,11,"1.3 VERIFICATION OF BUNDLE NUMBER",0.8,"2026-04-24 10:24:15"
685,11,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",1.65,"2026-04-24 10:24:15"
686,11,"2.2 DATA ENTRY WITH VERIFICATION OF PAYMENT CATEGORY",1.65,"2026-04-24 10:24:15"
687,11,"3.1 PRINTING CHARGES OF SUMMARY REPORT OF C1, SURCHARGES, CL, UP/OP, & ERROR REPROT",10,"2026-04-24 10:24:15"
688,39,"Policy Preparation for despatching",40,"2026-04-24 10:27:16"
689,39,"MOQ Balance  Policy Preparation for despatching ",40,"2026-04-24 10:27:16"
700,18,"File",0,"2026-04-24 10:39:01"
698,18,"Converting Physical Documents to DIGITAL Images - A4 image 				",3,"2026-04-24 10:39:01"
699,18,"Converting Physical Documents to DIGITAL Images -A3 image 				",5.25,"2026-04-24 10:39:01"
632,32,"Preparing the archival Boxes including packing list 				 				",100,"2026-04-07 09:14:33"
633,32,"Preparing the archival Boxes which comes directly from courier 				 				",100,"2026-04-07 09:14:33"
634,32,"Preparing the archival Boxes including packing list 				",100,"2026-04-07 09:14:33"
635,32,"RE SENDING THE INCOMPLETE AGREEMENTS  BACK TO BRANCHES				 				",100,"2026-04-07 09:14:33"
665,83,"Scanning",3.75,"2026-04-20 11:39:34"
629,32,"AGREEMENTS  RETRIVE				 				",150,"2026-04-07 09:14:33"
628,103,"SCM3 Verification agreements count - Online          ",15,"2026-04-07 09:14:06"
605,34,"Scanning",0,"2026-04-06 13:50:42"
606,34,"Exel",0,"2026-04-06 13:50:42"
677,30,"Return POD Packets                                       				 				",100,"2026-04-20 12:22:09"
611,101,"File",0,"2026-04-06 15:20:30"
678,30,"Completed Boxes count 				 				",99.96,"2026-04-20 12:22:09"
681,8,"Scaning",4.3,"2026-04-24 10:20:44"
662,20,"Data Entry",0,"2026-04-20 11:33:22"
667,10,"A3 and Above				",5.25,"2026-04-20 11:42:52"
617,102,"Staff outsourcing Per Person			",2362.5,"2026-04-07 09:03:08"
618,102,"Extra Hours				",442.97,"2026-04-07 09:03:08"
666,83,"File",0,"2026-04-20 11:39:34"
668,10,"Indexing Charges for additional fields				",1,"2026-04-20 11:42:52"
630,32,"Document Boxes storage 				 				",50,"2026-04-07 09:14:33"
669,10,"Setup & Installation of Hardware (Scanners & Laptops) at customers site – One time payment 				",10000,"2026-04-20 11:42:52"
670,10,"Includes Data Entry, pre scanning Physical Document Preparation, uploading to a DMS",3.75,"2026-04-20 11:42:52"
671,10,"Converting documents (Damaged or Fragile) using overhead book scanners				",4.5,"2026-04-20 11:42:52"
645,121,"PREPARATION",0,"2026-04-10 08:41:41"
146,9,"Opening of New Files ",8,"2026-03-19 22:43:19"
672,29,"DOCUMENT SCANNING-  Less than 500,000 page",2.75,"2026-04-20 11:46:53"
673,29,"DOCUMENT SCANNING- page500,000- 2,000,000 ",1.6,"2026-04-20 11:46:53"
147,9,"Issuing anf Replacing Files ",10.25,"2026-03-19 22:43:19"
148,9,"Inserting 'C'Forms ",3.6,"2026-03-19 22:43:19"
149,9,"Packing Files into Carton Along with Packing list ",250,"2026-03-19 22:43:19"
674,29,"DOCUMENT SCANNING- Above 2,000,000 images  ",1.5,"2026-04-20 11:46:53"
675,29,"Scaning",0,"2026-04-20 11:46:53"
676,30,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",2,"2026-04-20 12:22:09"
682,11,"1.1 VERIFICATION OF EMPLOYERS ZONE AND NUMBER",0.8,"2026-04-24 10:24:15"
683,11,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0.8,"2026-04-24 10:24:15"
690,39,"Policyand letter printing ",2.6,"2026-04-24 10:27:16"
695,6,"File",0,"2026-04-24 10:34:26"
696,6,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",2.74,"2026-04-24 10:34:26"
691,39,"Collecting pre- printed Insurance Cards from the Client and customized printing of the Client name, Policy No etc . using Our Printer and consumables",70,"2026-04-24 10:27:16"
692,39,"Collecting ore printed insurance Cards from the client and and customized printing  of  the  Client  name,  Policy  No  etc.  using  Client’s  Printer  and",10,"2026-04-24 10:27:16"
693,39,"Letter Printing (Non Split) ",2.6,"2026-04-24 10:27:16"
694,39,"Letter preparation for despatching and handing over",5,"2026-04-24 10:27:16"
701,3,"Document scanning and digitizing 				",1.8,"2026-04-24 10:45:46"
727,14,"Scaning						",5.5,"2026-04-29 09:55:11"
728,14,"Preparation",0,"2026-04-29 09:55:11"
729,28,"DOCUMENT SCANNING A4          				",2.9,"2026-04-29 15:36:13"
730,28,"DOCUMENT SCANNING A3             				",3.6,"2026-04-29 15:36:13"
725,14,"Scanning of GRN Lists 			",2.5,"2026-04-29 09:55:11"
726,14,"MIRO Updating ",10,"2026-04-29 09:55:11"
182,15,"DISCHARGE SUMMARIES",3.25,"2026-03-19 22:55:12"
183,15,"DISCHARGE SUMMARIES",3.25,"2026-03-19 22:55:12"
184,15,"BILLING CARDS",3.25,"2026-03-19 22:55:12"
185,15,"ENDOSCOPIES",3.23,"2026-03-19 22:55:12"
186,15,"DIAGNOSIS CARDS",3.25,"2026-03-19 22:55:12"
187,15,"REGISTRATION FORMS  ",3.25,"2026-03-19 22:55:12"
188,15,"OLD DEATH SUMMARY COUNT",3.25,"2026-03-19 22:55:12"
189,15,"SUMMARY COUNT",3.25,"2026-03-19 22:55:12"
190,15,"COVID DISCHARGE SUMMARIES",3.25,"2026-03-19 22:55:12"
215,25,"Cost of Transportation and setting up the scanners (applicable only for on-premise scanning).			",10000,"2026-03-19 23:10:55"
228,26,"To Convert Physical Documents to DIGITAL Images  (Up to A4/legal)				",3.51,"2026-03-19 23:22:26"
270,23,"Converting Physical Documents to DIGITAL Images - Article A4 image				",3.25,"2026-03-20 09:28:01"
213,25,"Converting Physical Documents to digital Images using book scanner (Bounded documents and A3 size)			",4.5,"2026-03-19 23:10:55"
214,25,"A4 & LEGAL",2.5,"2026-03-19 23:10:55"
271,23,"Converting Physical Documents to DIGITAL Images - Letters A4 image				",3.22,"2026-03-20 09:28:01"
272,37,"Page Count up to 61 – 80 (40A4 Papers max/duplex printing)				",210,"2026-03-20 09:30:33"
310,27,"DOCUMENT SCANNING A4",2.9,"2026-03-20 18:32:20"
311,27,"DOCUMENT SCANNING A3",3.6,"2026-03-20 18:32:20"
243,35,"Document scanning and digitizing 				",1.8,"2026-03-19 23:37:21"
274,37,"Page Count up to 60(30A4 Papers with duplex printing)				",190,"2026-03-20 09:30:33"
261,16,"Scanning",2,"2026-03-20 08:02:05"
